State Abrivation,State,Business Index,review_count,stars
NV,Nevada, 19.72 ," 11,444,302 "," 580,383 "
AZ,Arizona, 10.85 ," 9,830,605 "," 905,990 "
NC,North Carolina, 8.70 ," 1,919,464 "," 220,595 "
PA,Pennsylvania, 8.03 ," 1,313,482 "," 163,512 "
WI,Wisconsin, 7.86 ," 646,248 "," 82,218 "
OH,Ohio, 6.78 ," 1,470,505 "," 216,811 "
IL,Illinois, 6.32 ," 180,939 "," 28,612 "
NM,New Mexico, 5.60 , 140 , 25 
SC,South Carolina, 5.60 ," 91,672 "," 16,376 "
NY,New York, 3.60 ," 1,290 ", 359 
CA,California, 3.54 ," 1,271 ", 359 
AR,Arkansas, 3.50 , 35 , 10 
NE,Nebraska, 2.80 , 84 , 30 
GA,Georgia, 2.23 , 39 , 18 
VA,Virginia, 2.15 , 86 , 40 
UT,Utah, 2.00 , 24 , 12 
WA,Washington, 1.96 , 90 , 46 
NJ,New Jersey, 1.60 , 32 , 20 
CT,Connecticut, 1.52 , 64 , 42 
AK,Alaska, 1.33 , 24 , 18 
AL,Alabama, 1.03 , 51 , 50 
BAS,Arkansas, 1.00 , 8 , 8 
VT,Vermont, 0.97 , 31 , 32 
