State	BusinessIndex	ReviewCount	BusinessRating
Nevada	19.47846701	43	26
Arizona	10.71710786	37	41
North Carolina	8.593441328	7	10
Pennsylvania	7.93164757	5	7
Wisconsin	7.763729751	2	3.710392575
Ohio	6.696957724	5	10
Illinois	6.242591861	1	1.29096384
New Mexico	5.53141051	0.00052044	0.001128465
South Carolina	5.53141051	0.340888417	0.740272971
New York	3.555906756	0.00483266	0.016204756
California	3.496641644	0.00483266	0.016204756
Arkansas	3.457131569	0.00013011	0.000451386
Nebraska	2.765705255	0.000312264	0.001354158
Georgia	2.202686685	0.00014498	0.000812495
Virginia	2.123666535	0.000319699	0.001805544
Utah	1.975503753	8.92183E-05	0.000541663
Washington	1.935993678	0.000334569	0.002076375
